,Post_Content,Date,Comments_Shares,All_Responses,Brand
806,"People are loving our new George Home unicorn range! http://bit.ly/2uJ0NxF
Find out how our 'Head of Unicorns' got her inspiration for the magical trend: http://bit.ly/2vJh2Ip","August 16, 2017","6.1K Comments2,370 Shares",8.7K,asda
807,"People are loving our new George Home unicorn range! http://bit.ly/2uJ0NxF
Find out how our 'Head of Unicorns' got her inspiration for the magical trend: http://bit.ly/2vJh2Ip","August 16, 2017","6.1K Comments2,370 Shares",8.7K,asda
808,"Happy 1st birthday Effie and Ama!
Sweetly decorated with animals, record their first day to their first night's sleep with this set of 36 milestone cards. Thanks to our colleague Mammy for sharing this beautiful snap! Click here to buy: http://bit.ly/2vHQqaI","August 16, 2017",31 Comments44 Shares,364,asda
809,"Happy 1st birthday Effie and Ama!
Sweetly decorated with animals, record their first day to their first night's sleep with this set of 36 milestone cards. Thanks to our colleague Mammy for sharing this beautiful snap! Click here to buy: http://bit.ly/2vHQqaI","August 16, 2017",31 Comments44 Shares,364,asda
810,"Congratulations to newlyweds Emma and Sam who love our Extra Special White Chocolate and Raspberry Cheesecake so much that they had it as their wedding cake!
Our bakery team created four large versions of the cheesecake for their reception at the weekend after Emma asked for their help. She said: ""We were so excited to mark our big day with our favourite pud"". Read more: http://bit.ly/2uCy9yf","August 15, 2017",190 Comments51 Shares,2.7K,asda
811,"Congratulations to newlyweds Emma and Sam who love our Extra Special White Chocolate and Raspberry Cheesecake so much that they had it as their wedding cake!
Our bakery team created four large versions of the cheesecake for their reception at the weekend after Emma asked for their help. She said: ""We were so excited to mark our big day with our favourite pud"". Read more: http://bit.ly/2uCy9yf","August 15, 2017",190 Comments51 Shares,2.7K,asda
812,"Start your day right! Bursting with fruity goodness, this triple-melon iced slushie could not be more perfect as a refreshing thirst quencher: http://bit.ly/2uD7y3R 🍉🍓🍍","August 15, 2017",11 Comments11 Shares12K Views,93,asda
813,"Start your day right! Bursting with fruity goodness, this triple-melon iced slushie could not be more perfect as a refreshing thirst quencher: http://bit.ly/2uD7y3R 🍉🍓🍍","August 15, 2017",11 Comments11 Shares12K Views,93,asda
814,"They're tougher than you know, and so are their clothes. With a 100 day guarantee on all our George school clothing and footwear, they're ready for anything.
Shop now: http://bit.ly/2vBqI7q Selected stores. Subject to availability.","August 14, 2017",27 Comments21 Shares144K Views,151,asda
815,"They're tougher than you know, and so are their clothes. With a 100 day guarantee on all our George school clothing and footwear, they're ready for anything.
Shop now: http://bit.ly/2vBqI7q Selected stores. Subject to availability.","August 14, 2017",27 Comments21 Shares144K Views,151,asda
816,"It’s time to be creative. Tilly Ramsay’s no-cook healthy doughnuts are made using apple rings, and topped with whatever you like, but here are a few suggestions to get you started... http://bit.ly/2uvjBAf","August 12, 2017",41 Comments14 Shares,115,asda
817,"It’s time to be creative. Tilly Ramsay’s no-cook healthy doughnuts are made using apple rings, and topped with whatever you like, but here are a few suggestions to get you started... http://bit.ly/2uvjBAf","August 12, 2017",41 Comments14 Shares,115,asda
818,A little rain never stops us having a picnic! Whatever the weather this Summer enjoy 2 for £3 across all picnic snacks #justaddasda http://bit.ly/2vf2Mqw,"August 11, 2017",84 Comments62 Shares137K Views,744,asda
