word,frequency
said,19.820037631960734
people,17.844159425779242
new,16.8183837810818
ve,16.683757004896524
range,16.44882682972187
christmas,16.332859899848877
just,15.18082392051828
day,14.602642179719329
read,13.697386529643785
got,13.388614436429409
colleagues,13.388595682760291
year,12.913617522641387
love,12.681747040557383
like,12.421726416501926
good,11.435110038946846
instagram,11.302273306542288
special,11.28525474551619
pick,10.729397078952363
online,10.384719485980051
getting,9.974789563719987
