word,frequency
new,21.52542028503192
shop,18.503073046091636
christmas,18.10629552479047
day,15.116077295256174
summer,13.998716463635153
perfect,13.34422099037914
season,13.209074919216734
range,12.46079924632797
make,11.787978544825854
favourite,11.195678723729957
festive,10.507748790441495
treat,10.309936583368332
delicious,9.777666660211539
collection,9.379863906524875
food,9.129339541998432
time,9.060929627110495
year,8.915357886595611
style,8.7008790545587
weekend,8.407868893962805
little,8.394793983043796
