Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-09-26 00:00:00,2018,Sainsburys,"Sainsbury’s magazine’s October issue is here and it’s only £1! Jam-packed with 40 new recipes including dishes for easy entertaining, spooky Halloween bakes, an autumnal feast, the best-ever Christmas cake, plus loads more. Get your copy today! http://bit.ly/2xrvJlo",133,36,10,15000
2018-09-22 00:00:00,2018,Sainsburys,Apple pie gets turbo-charged with a cinnamon swirl topping. Get the Sainsbury’s magazine recipe: http://bit.ly/2PQLTLO,516,253,194,71000
2018-09-19 00:00:00,2018,Sainsburys,Mango chutney is the star ingredient in Sainsbury’s magazine’s sticky chicken with fragrant pilau – on the table in 30 minutes! Get the recipe: http://bit.ly/2PMTY40,198,42,21,0
2018-09-18 00:00:00,2018,Sainsburys,You won't beet-lieve the tasty goodies you can make 😉,938,1100,391,485000
2018-09-15 00:00:00,2018,Sainsburys,This fun rice crispie celebration cake is a fabulous no-bake party piece that feeds 16! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVM5fR,302,89,45,0
2018-09-12 00:00:00,2018,Sainsburys,"This bacon and pea pasta is like an all-in-one spaghetti carbonara, but with just one pan to wash up. Plus it only costs 62p per serving! Get the Sainsbury’s magazine recipe: http://bit.ly/2MVfBlE",363,101,75,0
2018-09-11 00:00:00,2018,Sainsburys,All the cheeeeese 🤤🧀,3800,3600,1291,2000000
2018-09-06 00:00:00,2018,Sainsburys,Pie season is upon us! Try Sainsbury’s magazine’s tasty chicken and leek pie with crispy potato topping. Get the recipe: http://bit.ly/2NoQjvC,527,167,148,0
2018-09-04 00:00:00,2018,Sainsburys,"It’s cake week! There’s two showstoppers, but you can only pick one… 🤔",7100,649,431,0
2018-09-01 00:00:00,2018,Sainsburys,If summer were a pud it would be Sainsbury’s magazine’s super-easy strawberry cheesecake bowl. Get the recipe: http://bit.ly/2MLZyWv,290,54,34,29000
2018-08-30 00:00:00,2018,Sainsburys,"Get your hands on Sainsbury’s magazine’s thrifty issue, packed with clever ways to help you save money. Don't miss midweek meals from 62p per serving, delicious cookie dough recipes and epic pies for autumn – OUT NOW! Take a peek here: http://bit.ly/2NfiASg",224,51,20,29000
2018-08-29 00:00:00,2018,Sainsburys,Got to be beans on toast for us...😏,287,66,23,620000
2018-08-25 00:00:00,2018,Sainsburys,"Inspired by the classic ploughman’s lunch, these yummy scones are packed with cheese and pickle. Get the Sainsbury’s magazine recipe: http://bit.ly/2MEMgLE",365,164,139,34000
2018-08-23 00:00:00,2018,Sainsburys,"Gaynor, we think you’re a star ⭐",826,160,133,282000
2018-08-22 00:00:00,2018,Sainsburys,"This chicken kiev traybake has all the flavours of the breaded treat… but is ready in 30 minutes. Winner, winner, chicken dinner! Get the Sainsbury’s magazine recipe: http://bit.ly/2MoqcW0",239,63,51,0
2018-08-20 00:00:00,2018,Sainsburys,That friend who doesn’t want to admit their holiday’s over...,328,82,24,426000
