Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video,Has_Hashtag,Hashtag_Count,Likes,Response_Rate,Comments_Rate,Shares_Rate,Video_Rate
2018-01-04,2018,Sainsburys,"Right, who’s doing veganuary and wants to make us one of these beauties? 💚 http://bit.ly/2z9VJVh",4300,7900,1909,1200000,True,True,False,0,1658137.0,0.0025932718466568205,0.004764383160136949,0.001151292082620435,0.7237037711600429
2018-01-03,2018,Sainsburys,"Sainsbury’s magazine wishes you a Happy New Year with their January issue, packed with 35 new recipes including Nutella sweet treats and comforting slow-cook recipes. OUT NOW and only £1! http://bit.ly/2kErPiw",161,38,15,23000,True,True,False,0,1657715.0,9.712164033021357e-05,2.292312007793861e-05,9.048600030765241e-06,0.013874520047173369
2018-01-02,2018,Sainsburys,"Don't miss the January issue of Good Housekeeping, to see how Rosie Birkett styles up her kitchen with Sainsbury's Home",119,19,6,0,False,False,False,0,1657551.0,7.179266278986288e-05,1.1462694058885671e-05,3.619798123858632e-06,0.0
2018-01-01,2018,Sainsburys,Want to add more veg to your favourite dishes? Us too!,277,90,77,60000,False,True,False,0,1657383.0,0.00016713095283347302,5.430247564986488e-05,4.645878472266217e-05,0.03620165043324325
2018-01-01,2018,Sainsburys,What resolutions will you make? Screenshot below to find out 😁,974,871,234,1300000,False,True,False,0,1657383.0,0.0005876734586996487,0.0005255272921225811,0.00014118643668964867,0.7843690927202704
2017-12-31,2017,Sainsburys,"👀VEGGIE CRISPS👀 to dip your way through New Year’s telly. So easy, right?
http://bit.ly/2lc6Aad",316,77,86,60000,True,True,False,0,1657295.0,0.0001906721494966195,4.6461251617847165e-05,5.189178752123189e-05,0.03620357268923155
2017-12-29,2017,Sainsburys,There’s a new hunky ham on the party scene… put Sainsbury’s magazine’s mulled sloe gin and plum ham on your buffet table. Get the recipe: http://bit.ly/2kUKMNg,174,51,31,0,True,False,False,0,1657032.0,0.00010500702460785307,3.0777921005750046e-05,1.8708148062318653e-05,0.0
2017-12-28,2017,Sainsburys,"Impress your dinner-party guests and see 2017 out in tasty style with Sainsbury’s magazine’s pork, sage and chestnut Wellington. Get the recipe: http://bit.ly/2kECAkV",325,118,103,73000,True,True,False,0,1656982.0,0.0001961397287357376,7.121380920251397e-05,6.216120633778761e-05,0.04405600060833492
2017-12-28,2017,Sainsburys,"Looking for a chic way to dine for the New Year? Go for gold with our show-stopping tableware.
http://bit.ly/2AKz8zg",211,19,6,156000,True,True,False,0,1656982.0,0.00012733994696381736,1.1466630295320046e-05,3.62104114589054e-06,0.09414706979315406
2017-12-26,2017,Sainsburys,"Right, let's settle this once and for all - which is king of Christmas leftovers?",153,125,19,0,False,False,False,0,1656595.0,9.235812011988446e-05,7.545598049010168e-05,1.1469309034495454e-05,0.0
